:START_ID,:END_ID,fecha_apertura,tipo_relacion,activa
1,1,2019-02-22,titular,False
2,2,2021-01-02,titular,True
3,3,2019-09-09,titular,True
4,4,2021-04-10,titular,True
5,5,2016-06-05,titular,True
6,6,2018-07-30,titular,True
7,7,2021-03-25,titular,True
8,8,2016-09-06,titular,True
9,9,2018-12-10,titular,True
10,10,2022-02-22,titular,True
11,11,2023-11-17,titular,True
12,12,2023-01-07,titular,True
13,13,2017-02-18,titular,True
14,14,2019-09-03,titular,True
15,15,2017-05-27,titular,True
16,16,2019-07-24,titular,True
17,17,2024-02-18,titular,False
18,18,2024-03-08,titular,True
19,19,2016-10-20,titular,True
20,20,2020-02-06,titular,True
21,21,2025-07-08,titular,True
22,22,2025-04-05,titular,True
23,23,2016-12-29,titular,True
24,24,2024-09-11,titular,True
25,25,2026-04-07,titular,True
26,26,2017-06-09,titular,True
27,27,2023-12-14,titular,True
28,28,2018-07-21,titular,True
29,29,2022-06-25,titular,False
30,30,2019-12-29,titular,True
31,31,2021-04-19,titular,True
32,32,2025-12-07,titular,True
33,33,2024-08-04,titular,True
34,34,2016-06-17,titular,True
35,35,2024-10-22,titular,True
36,36,2021-10-31,titular,True
37,37,2020-07-14,titular,True
38,38,2022-08-14,titular,True
39,39,2026-03-19,titular,True
40,40,2023-09-21,titular,True
41,41,2025-11-10,titular,True
42,42,2016-06-25,titular,False
43,43,2026-02-28,titular,True
44,44,2019-06-15,titular,True
45,45,2017-11-15,titular,True
46,46,2020-06-01,titular,True
47,47,2024-10-23,titular,True
48,48,2020-05-28,titular,True
49,49,2020-03-01,titular,True
50,50,2016-12-11,titular,True
51,51,2019-09-04,titular,True
52,52,2018-08-27,titular,True
53,53,2020-01-02,titular,True
54,54,2025-08-22,titular,True
55,55,2024-11-30,titular,True
56,56,2024-12-14,titular,True
57,57,2026-01-05,titular,True
58,58,2019-10-16,titular,True
59,59,2022-05-09,titular,True
60,60,2023-10-08,titular,True
61,61,2019-08-09,titular,True
62,62,2016-08-15,titular,True
63,63,2024-12-26,titular,True
64,64,2022-11-21,titular,True
65,65,2024-08-12,titular,True
66,66,2016-09-21,titular,True
67,67,2018-04-21,titular,True
68,68,2019-04-19,titular,True
69,69,2019-12-06,titular,True
70,70,2024-07-06,titular,True
71,71,2023-12-01,titular,True
72,72,2019-05-13,titular,True
73,73,2017-01-13,titular,True
74,74,2018-10-28,titular,True
75,75,2021-09-13,titular,True
76,76,2019-09-18,titular,True
77,77,2022-04-03,titular,True
78,78,2017-05-27,titular,True
79,79,2017-07-03,titular,False
80,80,2024-05-11,titular,False
81,81,2020-04-29,titular,True
82,82,2016-10-13,titular,True
83,83,2020-11-20,titular,True
84,84,2023-08-22,titular,True
85,85,2019-01-02,titular,False
86,86,2020-09-20,titular,True
87,87,2023-11-01,titular,True
88,88,2018-10-04,titular,True
89,89,2018-03-26,titular,True
90,90,2023-04-07,titular,True
91,91,2018-12-28,titular,True
92,92,2017-03-13,titular,True
93,93,2016-08-31,titular,True
94,94,2019-04-13,titular,True
95,95,2020-10-12,titular,True
96,96,2018-05-13,titular,True
97,97,2021-11-23,titular,True
98,98,2017-04-13,titular,True
99,99,2016-12-26,titular,True
100,100,2022-06-10,titular,True
101,101,2025-12-18,titular,True
102,102,2022-08-17,titular,True
103,103,2024-12-03,titular,True
104,104,2022-10-05,titular,True
105,105,2018-09-24,titular,True
106,106,2018-12-09,titular,True
107,107,2021-12-06,titular,True
108,108,2022-03-07,titular,True
109,109,2018-12-13,titular,True
110,110,2025-05-13,titular,True
111,111,2024-04-27,titular,True
112,112,2019-10-13,titular,True
113,113,2021-04-17,titular,True
114,114,2021-03-10,titular,True
115,115,2025-11-11,titular,True
116,116,2021-12-17,titular,True
117,117,2017-06-17,titular,True
118,118,2022-03-31,titular,True
119,119,2020-02-14,titular,True
120,120,2017-04-05,titular,True
121,121,2017-08-21,titular,True
122,122,2020-07-29,titular,True
123,123,2023-01-05,titular,False
124,124,2024-02-15,titular,True
125,125,2018-04-27,titular,True
126,126,2021-05-07,titular,True
127,127,2020-02-05,titular,True
128,128,2022-10-29,titular,True
129,129,2025-10-20,titular,True
130,130,2024-03-25,titular,True
131,131,2021-01-08,titular,True
132,132,2019-12-14,titular,True
133,133,2021-01-13,titular,True
134,134,2019-03-10,titular,True
135,135,2017-01-08,titular,True
136,136,2026-02-02,titular,True
137,137,2022-03-05,titular,True
138,138,2020-12-03,titular,True
139,139,2017-04-22,titular,False
140,140,2022-06-02,titular,True
141,141,2023-02-25,titular,True
142,142,2019-12-13,titular,True
143,143,2017-12-04,titular,False
144,144,2023-06-25,titular,False
145,145,2016-06-12,titular,True
146,146,2023-10-02,titular,True
147,147,2022-08-06,titular,True
148,148,2022-08-17,titular,True
149,149,2016-08-09,titular,True
150,150,2018-09-07,titular,True
151,151,2023-03-31,titular,True
152,152,2024-05-04,titular,True
153,153,2023-09-08,titular,True
154,154,2022-06-16,titular,True
155,155,2021-12-08,titular,True
156,156,2017-01-13,titular,True
157,157,2020-12-17,titular,True
158,158,2016-11-14,titular,True
159,159,2026-03-14,titular,True
160,160,2026-03-17,titular,True
161,161,2022-10-26,titular,True
162,162,2026-02-13,titular,True
163,163,2016-07-15,titular,True
164,164,2018-07-23,titular,True
165,165,2022-06-14,titular,True
166,166,2021-04-22,titular,True
167,167,2022-06-28,titular,True
168,168,2018-11-06,titular,True
169,169,2019-08-01,titular,True
170,170,2020-10-11,titular,True
171,171,2021-09-19,titular,True
172,172,2022-01-20,titular,True
173,173,2020-10-20,titular,True
174,174,2021-03-26,titular,True
175,175,2020-01-14,titular,True
176,176,2020-01-30,titular,True
177,177,2026-03-26,titular,True
178,178,2017-10-11,titular,True
179,179,2025-11-24,titular,True
180,180,2021-05-03,titular,True
181,181,2020-08-24,titular,True
182,182,2017-10-19,titular,True
183,183,2022-02-11,titular,True
184,184,2024-01-26,titular,True
185,185,2018-03-16,titular,True
186,186,2025-01-13,titular,True
187,187,2025-09-27,titular,True
188,188,2026-03-30,titular,True
189,189,2016-06-03,titular,True
190,190,2019-10-24,titular,True
191,191,2021-02-23,titular,True
192,192,2021-11-16,titular,True
193,193,2017-12-17,titular,True
194,194,2016-11-07,titular,True
195,195,2019-12-01,titular,True
196,196,2016-08-18,titular,True
197,197,2020-08-10,titular,True
198,198,2024-05-07,titular,True
199,199,2021-01-11,titular,True
